X,Y,OBJECTID,ID_CICLOPARQUEDERO,CIV,CLASECICLOP,NOMBRECICLOP,SECTORCICLOP,TIPOUSUARIOCICLOP,LOCALIDAD,DIRECCIONCICLOP,HORARIOCICLOP,TIPOLOGIACICLOP,CUPOCICLOP,SELLOCICLOP,ANOCICLOP,GLOBALID
-74.152796034,4.59789844800002,1,1000,19015569,F,Centro comercial  Paseo Villa del rio,2,1,19,DG 57C SUR 62 60,L-D 08:00 - 21:00,8,1205,2,2023,{EA7D8EEB-0574-4E7F-B9B5-68C278FD83DA}
-74.155887235,4.58025208599997,2,1001,19002092,F,Centro de salud candelaria,2,2,6,KR 51 59C SUR 40,L-V 07:00 - 20:00,8,48,1,2023,{10C4AEE1-AC03-4E39-B341-DFA828AC2B84}
-74.158161599,4.57056693599998,3,1002,19004657,F,Centro de salud Manuela Beltrán,2,2,1,KR 44D 69 SUR 16,L-V 07:00 - 20:00,8,24,1,2023,{5AAE4433-A2A0-4DD7-A748-9D382BF84E4A}
-74.132117389,4.58361028799999,4,1003,6000883,F,Centro de salud El Carmen,2,2,6,KR 17 25 65,L-V 07:00 - 20:00,8,24,1,2023,{E255AFCF-8194-4756-90AB-B05D03664CCC}
-74.152782693,4.59658290200002,5,1004,19014419,F,Makro Villa del rio,2,1,8,KR 63 57G 47,L-D 08:00 - 20:00,8,46,2,2023,{58AF8A4E-1217-4D38-BB2B-6F8637018886}
-74.082007101,4.73700859899998,6,1005,11013784,F,Compensar Suba,2,2,11,CL 146b 91 90,L-V 08:00 - 17:00,8,150,2,2023,{E568BA42-F0D4-4BC2-AFF4-293BAF71193F}
-74.049204364,4.70441927100001,7,1006,1006852,F,GIZ,2,2,1,CL 125 19 24,L-V 07:00 - 15:00,8,52,1,2023,{C78CA34C-E9E2-4C18-AC15-EB1CE60F6888}
-74.128958222,4.64659729099998,8,1007,8014521,F,Centro comercial El Edén,2,1,8,AV BOYACA 12B 18,L-D 08:00 - 22:00,8,709,1,2023,{4D853BD3-A344-460D-A0A8-E3F8D48B0D37}
-74.10915202,4.66161631400001,9,1008,9003584,F,Carvajal,2,2,10,AV CL 26 90 10,L-D 06:00 - 19:00,8,300,1,2023,{1F1D6596-A062-49F8-A929-AD5253F477EC}
-74.14349858,4.56618030700002,10,1009,19015232,F,Alcaldia Local Ciudad Bolivar,1,1,19,DG 62 SUR 20F 20,L-V 08:00 - 16:30,8,74,1,2023,{B892A446-EE5D-4A12-B4C1-B94224C36240}
-74.103508052,4.66260924099998,11,1010,10011500,F,Compensar CUR,2,2,10,KR 69 49A 73,L-D 06:00 - 21:00,8,60,2,2023,{C8F09FA7-D627-4665-AEC0-84489A626A78}
-74.09431,4.74674599999997,12,1011,11013770,I,Portal Suba,1,1,11,Troncal Suba,L-D 05:00 - 24:00,3,760,1,2018,{929CF224-0D6B-40DA-8242-B3336CDD2586}
-74.172942,4.629054,13,1012,8013589,I,Portal Américas,1,1,8,Troncal Americas,L-D 05:00 - 24:00,3,785,1,2018,{0D86BC54-EB44-40B3-B77F-9AAB5E6E55EB}
-74.152953,4.63505300000003,14,1013,8003671,I,Estación Transversal 86,1,1,8,Troncal Americas,L-D 05:00 - 24:00,3,84,1,2018,{40BED75C-F3B4-48BF-806C-FF75219EBF46}
-74.145546,4.63125600000001,15,1014,8004360,I,Estación Banderas,1,1,8,Troncal Americas,L-D 05:00 - 24:00,3,164,1,2018,{38127E6B-EE07-40B8-8D80-2E28BAF02936}
-74.135224,4.63013999899999,16,1015,8013741,I,Estación Mundo Aventura,1,1,8,Troncal Americas,L-D 05:00 - 24:00,1,32,1,2018,{AE7118D9-45BA-4387-8166-95CDA960A9AA}
-74.128603,4.62948799999998,17,1016,8004666,I,Estación Marsella,1,1,8,Troncal Americas,L-D 05:00 - 24:00,1,32,1,2018,{0C5697A7-0397-4BB3-B187-DED83F76D824}
-74.119685,4.62860899999998,18,1017,16000291,I,Estación Pradera,1,1,16,Troncal Americas,L-D 05:00 - 24:00,1,32,1,2018,{478A72EA-B2C5-4863-93C6-F5CEE3DC4313}
-74.169351,4.59672699999999,19,1018,7009012,I,Portal del Sur,1,1,19,Troncal NQS Sur,L-D 05:00 - 24:00,3,961,1,2018,{4AE4B9F2-B7A8-42E5-BE8A-A045342E32DF}
-74.128297,4.59347599900002,20,1019,16005114,I,Estación General Santander,1,1,16,Troncal NQS Sur,L-D 05:00 - 24:00,3,48,1,2018,{8ED31880-C301-43E5-B911-3C2B353B6067}
-74.090292,4.61280900000003,21,1020,14000289,I,Estación Ricaurte,1,1,14,Troncal NQS Central,L-D 05:00 - 24:00,2,185,1,2018,{73AB642B-AACE-4FE5-A244-08BC978C1E6C}
-74.082115,4.59358500000002,22,1021,3000873,I,Estación Bicentenario,1,1,3,Troncal AV 10,L-D 05:00 - 24:00,3,116,1,2018,{B0B09510-E05A-487D-9DB0-1949A38D3887}
-74.097222,4.56547299900001,23,1022,4008127,I,Portal 20 de Julio,1,1,4,Troncal AV 10,L-D 05:00 - 24:00,3,216,1,2018,{B6B985A3-8728-45A2-B2B9-256F487B0414}
-74.120627,4.68042600000001,24,1023,9001736,I,Portal El Dorado,1,1,6,Troncal Calle 26,L-D 05:00 - 24:00,3,532,1,2018,{EC9EC764-427E-4738-B1F3-C3A274B95AA2}
-74.108907,4.66215099999999,25,1024,9004511,I,Estación Av. Rojas,1,1,10,Troncal Calle 26,L-D 05:00 - 24:00,1,104,1,2018,{2FA961A3-1FDB-48A7-8842-C67916F27E98}
-74.092526,4.63656200000003,26,1025,13002752,I,Estación Quinta Paredes,1,1,13,Troncal Calle 26,L-D 05:00 - 24:00,1,48,1,2018,{35121EB2-B606-412B-AC02-B7D9F7EF3EDD}
-74.110413,4.70957499999997,27,1026,0,I,Portal 80,1,1,10,Troncal Calle 80,L-D 05:00 - 24:00,3,333,1,2018,{CA73DC9B-4FA5-4B24-8CCC-2EB502A371AB}
-74.139671,4.57180199999999,28,1027,6002051,I,Portal Tunal,1,1,19,Cable,L-D 05:00 - 24:00,3,437,1,2019,{3A736772-2747-458E-B11F-F3FA28896EDD}
-74.093165563,4.57738534600003,29,1028,15001414,I,Estación Intermedia Av. Primero de Mayo,1,1,4,Troncal AV 10,L-D 05:00 - 24:00,2,228,1,2019,{FC1657D8-2266-4A63-90A7-F631D07EDA61}
-74.148315,4.55713900000001,30,1029,19012671,I,Estación TransMiCable Juan Pablo,1,1,19,Cable,L-D 05:00 - 24:00,3,44,1,2019,{4C7EF687-0CAB-41C3-A99F-F8AC3C32DEEF}
-74.151438,4.55119000000002,31,1030,19008801,I,Estación TransMiCable Manitas,1,1,19,Cable,L-D 05:00 - 24:00,3,52,1,2019,{9D4545E0-1EEB-4D65-B242-ABDDB7776E19}
-74.158873,4.549555,32,1031,19009103,I,Estación TransMiCable Mirador del Paraiso,1,1,19,Cable,L-D 05:00 - 24:00,3,82,1,2019,{1BEF0933-2F7A-431E-B2DD-7DCFA4C55CB0}
